Sprint,模块,负责人,计划工时,实际工时,完成率,风险
Sprint1,基础框架搭建(Server),架构师,40,40,100%,无
Sprint1,数据库设计与建表,架构师,32,32,100%,无
Sprint1,统一响应封装与异常处理,后端组长,16,16,100%,无
Sprint1,MyBatis-Plus配置与代码生成,后端组长,16,16,100%,无
Sprint1,多租户基础框架,架构师,24,24,100%,无
Sprint1,国际化i18n基础设施,前端组长,16,16,100%,无
Sprint2,系统管理模块(用户/角色/菜单/部门),系统组,48,40,95%,低
Sprint2,登录认证与JWT Token集成,系统组,32,32,100%,无
Sprint2,权限拦截器与RBAC实现,系统组,24,20,90%,低
Sprint2,租户管理功能,系统组,16,16,100%,无
Sprint2,基础设施模块(文件/配置/代码生成),基础设施组,40,36,95%,低
Sprint2,Admin Web前端框架搭建,Web前端组,32,32,100%,无
Sprint3,CRM模块(客户/商机/跟进),CRM组,48,24,50%,中-开发进度偏慢
Sprint3,ERP模块(采购/销售/库存),ERP组,56,0,0%,高-需求待确认
Sprint3,BPM工作流引擎集成,BPM组,48,28,60%,中-技术难度高
Sprint3,Admin Web系统管理页面,Web前端组,40,32,80%,低
Sprint3,Admin移动端框架搭建,移动前端组,24,24,100%,无
Sprint3,UniApp多平台适配,移动前端组,32,16,50%,中-平台差异大
Sprint4,支付模块(多渠道统一支付),支付组,48,24,50%,中-渠道对接复杂
Sprint4,商城模块(商品/订单/营销),商城组,56,20,40%,中-业务逻辑复杂
Sprint4,会员模块(等级/积分/标签),会员组,32,16,50%,低
Sprint4,MES制造执行模块,MES组,48,0,0%,高-需求分析中
Sprint4,WMS仓库管理模块,WMS组,48,0,0%,高-需求分析中
Sprint4,Admin移动端业务页面,移动前端组,40,0,0%,中-依赖后端接口
Sprint5,报表中心与BI,报表组,48,16,30%,中-报表逻辑复杂
Sprint5,AI模块(对话/绘图/知识库),AI组,40,20,50%,中-LLM集成复杂
Sprint5,统一商品模块,商品组,32,16,50%,低
Sprint5,海外服务商城,海外服务组,32,8,25%,低
Sprint5,ZATCA电子发票合规,ZATCA组,32,0,0%,中-资质待确认
Sprint5,系统集成联调,集成组,48,0,0%,高-集成风险
Sprint5,微信公众号模块,公众号组,24,0,0%,低
Sprint5,商城前端(MallFrontend),商城前端组,40,0,0%,中-依赖后端接口
